"group","code","name","icd"
"0010","243","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2430","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2431","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2432","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2433","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2434","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2435","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2436","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2437","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2438","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2439","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2795","Communicable, maternal, perinatal and nutritional conditions",9
"0010","2859","Communicable, maternal, perinatal and nutritional conditions",9
"0010","466","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4660","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4661","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4662","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4663","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4664","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4665","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4666","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4667","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4668","Communicable, maternal, perinatal and nutritional conditions",9
"0010","4669","Communicable, maternal, perinatal and nutritional conditions",9
"0010","001","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0010","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0011","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0012","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0013","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0014","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0015","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0016","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0017","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0018","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0019","Communicable, maternal, perinatal and nutritional conditions",9
"0010","002","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0020","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0021","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0022","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0023","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0024","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0025","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0026","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0027","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0028","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0029","Communicable, maternal, perinatal and nutritional conditions",9
"0010","003","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0030","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0031","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0032","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0033","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0034","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0035","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0036","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0037","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0038","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0039","Communicable, maternal, perinatal and nutritional conditions",9
"0010","004","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0040","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0041","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0042","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0043","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0044","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0045","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0046","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0047","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0048","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0049","Communicable, maternal, perinatal and nutritional conditions",9
"0010","005","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0050","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0051","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0052","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0053","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0054","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0055","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0056","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0057","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0058","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0059","Communicable, maternal, perinatal and nutritional conditions",9
"0010","006","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0060","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0061","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0062","Communicable, maternal, perinatal and nutritional conditions",9
"0010","0063","Communicable, maternal, perinatal and nutritional conditions",9
