"group","code","name","icd"
"0020","2795","Infectious and parasitic diseases",9
"0020","7713","Infectious and parasitic diseases",9
"0020","001","Infectious and parasitic diseases",9
"0020","0010","Infectious and parasitic diseases",9
"0020","0011","Infectious and parasitic diseases",9
"0020","0012","Infectious and parasitic diseases",9
"0020","0013","Infectious and parasitic diseases",9
"0020","0014","Infectious and parasitic diseases",9
"0020","0015","Infectious and parasitic diseases",9
"0020","0016","Infectious and parasitic diseases",9
"0020","0017","Infectious and parasitic diseases",9
"0020","0018","Infectious and parasitic diseases",9
"0020","0019","Infectious and parasitic diseases",9
"0020","002","Infectious and parasitic diseases",9
"0020","0020","Infectious and parasitic diseases",9
"0020","0021","Infectious and parasitic diseases",9
"0020","0022","Infectious and parasitic diseases",9
"0020","0023","Infectious and parasitic diseases",9
"0020","0024","Infectious and parasitic diseases",9
"0020","0025","Infectious and parasitic diseases",9
"0020","0026","Infectious and parasitic diseases",9
"0020","0027","Infectious and parasitic diseases",9
"0020","0028","Infectious and parasitic diseases",9
"0020","0029","Infectious and parasitic diseases",9
"0020","003","Infectious and parasitic diseases",9
"0020","0030","Infectious and parasitic diseases",9
"0020","0031","Infectious and parasitic diseases",9
"0020","0032","Infectious and parasitic diseases",9
"0020","0033","Infectious and parasitic diseases",9
"0020","0034","Infectious and parasitic diseases",9
"0020","0035","Infectious and parasitic diseases",9
"0020","0036","Infectious and parasitic diseases",9
"0020","0037","Infectious and parasitic diseases",9
"0020","0038","Infectious and parasitic diseases",9
"0020","0039","Infectious and parasitic diseases",9
"0020","004","Infectious and parasitic diseases",9
"0020","0040","Infectious and parasitic diseases",9
"0020","0041","Infectious and parasitic diseases",9
"0020","0042","Infectious and parasitic diseases",9
"0020","0043","Infectious and parasitic diseases",9
"0020","0044","Infectious and parasitic diseases",9
"0020","0045","Infectious and parasitic diseases",9
"0020","0046","Infectious and parasitic diseases",9
"0020","0047","Infectious and parasitic diseases",9
"0020","0048","Infectious and parasitic diseases",9
"0020","0049","Infectious and parasitic diseases",9
"0020","005","Infectious and parasitic diseases",9
"0020","0050","Infectious and parasitic diseases",9
"0020","0051","Infectious and parasitic diseases",9
"0020","0052","Infectious and parasitic diseases",9
"0020","0053","Infectious and parasitic diseases",9
"0020","0054","Infectious and parasitic diseases",9
"0020","0055","Infectious and parasitic diseases",9
"0020","0056","Infectious and parasitic diseases",9
"0020","0057","Infectious and parasitic diseases",9
"0020","0058","Infectious and parasitic diseases",9
"0020","0059","Infectious and parasitic diseases",9
"0020","006","Infectious and parasitic diseases",9
"0020","0060","Infectious and parasitic diseases",9
"0020","0061","Infectious and parasitic diseases",9
"0020","0062","Infectious and parasitic diseases",9
"0020","0063","Infectious and parasitic diseases",9
"0020","0064","Infectious and parasitic diseases",9
"0020","0065","Infectious and parasitic diseases",9
"0020","0066","Infectious and parasitic diseases",9
"0020","0067","Infectious and parasitic diseases",9
"0020","0068","Infectious and parasitic diseases",9
"0020","0069","Infectious and parasitic diseases",9
"0020","007","Infectious and parasitic diseases",9
"0020","0070","Infectious and parasitic diseases",9
